,Color,Year of car manufacture,Length,price,Width,Brand Name,Transmission type,Seats,Body type,city,Car model,kilometer driven,Insurance Validity_value,Fuel type,Number of previous owners,Engine Displacement_value(cc)
7609,Others,2020,4655mm,1499000.0,1835mm,MG,Automatic,5.0,SUV,Kolkata,MG Hector,30000,Third Party insurance,Petrol,2,1451
7610,Black,2021,3995mm,975000.0,1790,Kia,Manual,5.0,SUV,Kolkata,Kia Sonet,975000,Third Party,Petrol,1,998
7611,Grey,2018,4270mm,999000.0,1780mm,Hyundai,Manual,5.0,SUV,Kolkata,Hyundai Creta,55000,Comprehensive,Diesel,1,1582
7612,Others,2017,4686mm,2500000.0,2020mm,Mercedes-Benz,Automatic,5.0,Sedan,Kolkata,Mercedes-Benz C-Class,30000,Third Party insurance,Diesel,1,2143
7613,Golden,2010,3585mm,196000.0,1595mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai i10,104900,Comprehensive,Petrol,1,1197
7614,Brown,2018,4425mm,683000.0,1730mm,Toyota,Manual,5.0,Sedan,Kolkata,Toyota Yaris,24092,Third Party,Petrol,2,1496
7615,Others,2017,3995mm,500000.0,1695mm,Maruti,Manual,5.0,Sedan,Kolkata,Maruti Swift Dzire,90000,Third Party insurance,Diesel,2,1248
7616,Golden,2020,3990mm,649000.0,1755,Tata,Manual,5.0,Hatchback,Kolkata,Tata Altroz,28519,Comprehensive,Petrol,1,1199
7617,Silver,2016,3955mm,386000.0,1694mm,Honda,Manual,5.0,Hatchback,Kolkata,Honda Jazz,88785,Third Party insurance,Petrol,1,1199
7618,Others,2015,3971mm,300000.0,1682mm,Volkswagen,Manual,5.0,Hatchback,Kolkata,Volkswagen Polo,90000,Third Party insurance,Petrol,2,1199
7619,Blue,2019,4788mm,888000.0000000001,1900mm,Tata,Manual,7.0,MUV,Kolkata,Tata Hexa,79755,Comprehensive,Diesel,1,2179
7620,Silver,2017,3985mm,560000.0,1734mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai i20,80000,Third Party insurance,Petrol,2,1197
7621,Silver,2017,3700mm,436000.00000000006,1735mm,Mahindra,Manual,5.0,Hatchback,Kolkata,Mahindra KUV 100 NXT,68832,Third Party,Petrol,2,1198
